lead_id,text
L020,"On 11 November 2019, the United States and China signed a phase-one trade deal halting further tariff escalations and committing China to USD 200 billion in additional US imports."
L021,"Switzerland and the European Union reached a framework agreement in March 2024 governing institutional relations, free movement of persons, and dispute resolution mechanisms."
L022,"Saudi Arabia and Iran restored diplomatic relations on 10 March 2023 in a deal brokered by China, ending a seven-year diplomatic rupture."
L023,"Bangladesh and Bhutan signed a preferential trade agreement in December 2020 covering 100 Bhutanese exports and 34 Bangladeshi exports under reduced tariff schedules."
L024,"The Inter-American Development Bank announced a USD 1.4 billion financing package for Colombia in February 2023 covering rural connectivity and renewable energy projects."
L025,"In October 2022, Australia and Japan signed a Reciprocal Access Agreement allowing the deployment of defense forces to each other's territory for joint training exercises."
L026,"On 7 July 2023, the European Union and New Zealand signed a free trade agreement eliminating 91 percent of tariffs and including a binding chapter on the Paris climate goals."
L027,"Ethiopia, Kenya, and Somalia held a tripartite summit in April 2024 and announced a regional security framework, but the joint declaration did not specify financing or troop commitments."
L028,"Saudi Arabia announced an investment partnership with Pakistan on 27 March 2024, the size of which was reported as up to USD 25 billion across mining, energy, and IT, with details to be finalized."
L029,"The Caribbean Community and the Dominican Republic concluded an agreement in May 2023 on regulatory harmonization for goods trade, services, and investment."
L030,"In November 2023, COP28 closed in Dubai with a consensus declaration calling for transitioning away from fossil fuels in energy systems, signed by 198 parties."
L031,"On 18 January 2025, Italy and Tunisia signed a migration management agreement worth EUR 100 million in budget support tied to border control cooperation."
L032,"The United States and Vietnam upgraded relations to a comprehensive strategic partnership in September 2023, covering semiconductors, climate, and supply chains."
L033,"Cambodia and Thailand renewed a bilateral border trade pact in June 2024, covering customs facilitation and a list of 80 designated border markets."
L034,"On 15 May 2022, Israel and India announced a memorandum of understanding on cyber-defense cooperation, including a joint working group and information-sharing protocols."
L035,"The Pacific Islands Forum endorsed a 2050 Strategy for the Blue Pacific Continent in July 2022, identifying climate adaptation, ocean health, and people-centered development as priorities."
L036,"Following months of talks, Egypt and Ethiopia did not reach a final agreement on the Grand Ethiopian Renaissance Dam by the end of 2023, though both governments confirmed continued negotiations."
L037,"The European Investment Bank and Tunisia signed a EUR 300 million loan in April 2023 for the upgrade of the country's electricity transmission grid."
L038,"On 14 February 2024, the United States, Japan, and Australia announced a trilateral cybersecurity initiative targeting critical infrastructure protection in the Indo-Pacific."
L039,"The Republic of Korea and Saudi Arabia signed a strategic partnership accord on 22 October 2023, including USD 30 billion in announced project commitments across energy and construction."
L040,"Colombia and Venezuela reopened a bilateral commerce framework on 26 September 2022, restoring diplomatic relations after three years and resuming cross-border trade routes."
L041,"On 4 April 2023, Finland formally joined NATO as the 31st member state, completing the accession process initiated after the Russian invasion of Ukraine."
L042,"The Trans-Pacific Partnership members admitted the United Kingdom as a new member in July 2023, marking the first accession since the original signatories."
L043,"Mongolia and Korea signed a critical minerals supply agreement in September 2023, covering rare earth elements and joint research on extraction technologies."
L044,"On 9 September 2023, the African Union became a permanent member of the G20 at the New Delhi summit, on a par with the European Union."
L045,"Spain and Morocco normalized diplomatic relations and signed a bilateral cooperation roadmap on 7 April 2022, covering migration, trade, and Western Sahara consultations."
L046,"In late 2023, the United Kingdom announced an AI Safety Institute partnership with the United States and ten other countries, though formal treaty status remains unspecified."
L047,"The Eurasian Economic Union and Iran signed a free trade agreement on 25 December 2023, covering most goods at preferential tariffs over a three-year transition."
L048,"On 11 May 2022, Sri Lanka and India formalized a USD 4 billion line of credit covering fuel imports, food imports, and emergency budget support."
L049,"Nigeria, Niger, and Algeria signed a memorandum of understanding in July 2022 to advance the Trans-Saharan Gas Pipeline, with feasibility studies funded jointly by the three governments."
L050,"On 14 December 2023, the European Union member states adopted the AI Act, the first comprehensive horizontal regulation of artificial intelligence systems, with phased entry into force through 2026."
